,Passengers,Fitted
1949-01-01 00:00:00,112.0,66.16826923076934
1949-02-01 00:00:00,118.0,59.4182692307694
1949-03-01 00:00:00,132.0,94.58493589743594
1949-04-01 00:00:00,129.0,91.50160256410258
1949-05-01 00:00:00,121.0,96.25160256410275
1949-06-01 00:00:00,135.0,136.08493589743594
1949-07-01 00:00:00,148.0,175.75160256410265
1949-08-01 00:00:00,148.0,175.5016025641027
1949-09-01 00:00:00,136.0,126.83493589743603
1949-10-01 00:00:00,119.0,91.0016025641027
1949-11-01 00:00:00,104.0,57.25160256410261
1949-12-01 00:00:00,118.0,86.25160256410267
1950-01-01 00:00:00,115.0,98.09222027972038
1950-02-01 00:00:00,126.0,91.34222027972044
1950-03-01 00:00:00,141.0,126.50888694638698
1950-04-01 00:00:00,135.0,123.42555361305361
1950-05-01 00:00:00,125.0,128.1755536130538
1950-06-01 00:00:00,149.0,168.00888694638698
1950-07-01 00:00:00,170.0,207.6755536130537
1950-08-01 00:00:00,170.0,207.42555361305375
1950-09-01 00:00:00,158.0,158.75888694638707
1950-10-01 00:00:00,133.0,122.92555361305372
1950-11-01 00:00:00,114.0,89.17555361305367
1950-12-01 00:00:00,140.0,118.17555361305371
1951-01-01 00:00:00,145.0,130.01617132867142
1951-02-01 00:00:00,150.0,123.26617132867149
1951-03-01 00:00:00,178.0,158.43283799533802
1951-04-01 00:00:00,163.0,155.34950466200465
1951-05-01 00:00:00,172.0,160.09950466200485
1951-06-01 00:00:00,178.0,199.93283799533802
1951-07-01 00:00:00,199.0,239.59950466200473
1951-08-01 00:00:00,199.0,239.34950466200476
1951-09-01 00:00:00,184.0,190.6828379953381
1951-10-01 00:00:00,162.0,154.84950466200476
1951-11-01 00:00:00,146.0,121.09950466200468
1951-12-01 00:00:00,166.0,150.09950466200473
1952-01-01 00:00:00,171.0,161.94012237762246
1952-02-01 00:00:00,180.0,155.19012237762252
1952-03-01 00:00:00,193.0,190.35678904428906
1952-04-01 00:00:00,181.0,187.2734557109557
1952-05-01 00:00:00,183.0,192.02345571095586
1952-06-01 00:00:00,218.0,231.85678904428906
1952-07-01 00:00:00,230.0,271.5234557109558
1952-08-01 00:00:00,242.0,271.2734557109558
1952-09-01 00:00:00,209.0,222.60678904428914
1952-10-01 00:00:00,191.0,186.7734557109558
1952-11-01 00:00:00,172.0,153.02345571095572
1952-12-01 00:00:00,194.0,182.02345571095577
1953-01-01 00:00:00,196.0,193.8640734265735
1953-02-01 00:00:00,196.0,187.11407342657355
1953-03-01 00:00:00,236.0,222.2807400932401
1953-04-01 00:00:00,235.0,219.19740675990673
1953-05-01 00:00:00,229.0,223.9474067599069
1953-06-01 00:00:00,243.0,263.78074009324007
1953-07-01 00:00:00,264.0,303.4474067599068
1953-08-01 00:00:00,272.0,303.1974067599068
1953-09-01 00:00:00,237.0,254.53074009324018
1953-10-01 00:00:00,211.0,218.69740675990684
1953-11-01 00:00:00,180.0,184.94740675990676
1953-12-01 00:00:00,201.0,213.9474067599068
1954-01-01 00:00:00,204.0,225.78802447552454
1954-02-01 00:00:00,188.0,219.0380244755246
1954-03-01 00:00:00,235.0,254.20469114219114
1954-04-01 00:00:00,227.0,251.12135780885777
1954-05-01 00:00:00,234.0,255.87135780885794
1954-06-01 00:00:00,264.0,295.7046911421911
1954-07-01 00:00:00,302.0,335.37135780885785
1954-08-01 00:00:00,293.0,335.12135780885785
1954-09-01 00:00:00,259.0,286.4546911421912
1954-10-01 00:00:00,229.0,250.62135780885785
1954-11-01 00:00:00,203.0,216.8713578088578
1954-12-01 00:00:00,229.0,245.87135780885785
1955-01-01 00:00:00,242.0,257.7119755244755
1955-02-01 00:00:00,233.0,250.96197552447563
1955-03-01 00:00:00,267.0,286.12864219114215
1955-04-01 00:00:00,269.0,283.0453088578088
1955-05-01 00:00:00,270.0,287.795308857809
1955-06-01 00:00:00,315.0,327.62864219114215
1955-07-01 00:00:00,364.0,367.2953088578089
1955-08-01 00:00:00,347.0,367.0453088578089
1955-09-01 00:00:00,312.0,318.37864219114226
1955-10-01 00:00:00,274.0,282.5453088578089
1955-11-01 00:00:00,237.0,248.79530885780883
1955-12-01 00:00:00,278.0,277.7953088578089
1956-01-01 00:00:00,284.0,289.63592657342656
1956-02-01 00:00:00,277.0,282.8859265734267
1956-03-01 00:00:00,317.0,318.0525932400932
1956-04-01 00:00:00,313.0,314.9692599067598
1956-05-01 00:00:00,318.0,319.71925990676004
1956-06-01 00:00:00,374.0,359.5525932400932
1956-07-01 00:00:00,413.0,399.21925990675993
1956-08-01 00:00:00,405.0,398.96925990675993
1956-09-01 00:00:00,355.0,350.3025932400933
1956-10-01 00:00:00,306.0,314.46925990675993
1956-11-01 00:00:00,271.0,280.7192599067599
1956-12-01 00:00:00,306.0,309.71925990675993
1957-01-01 00:00:00,315.0,321.5598776223776
1957-02-01 00:00:00,301.0,314.8098776223777
1957-03-01 00:00:00,356.0,349.9765442890442
1957-04-01 00:00:00,348.0,346.89321095571086
1957-05-01 00:00:00,355.0,351.6432109557111
1957-06-01 00:00:00,422.0,391.4765442890442
1957-07-01 00:00:00,465.0,431.14321095571097
1957-08-01 00:00:00,467.0,430.89321095571097
1957-09-01 00:00:00,404.0,382.22654428904434
1957-10-01 00:00:00,347.0,346.39321095571097
1957-11-01 00:00:00,305.0,312.6432109557109
1957-12-01 00:00:00,336.0,341.64321095571097
1958-01-01 00:00:00,340.0,353.48382867132864
1958-02-01 00:00:00,318.0,346.73382867132875
1958-03-01 00:00:00,362.0,381.90049533799527
1958-04-01 00:00:00,348.0,378.8171620046619
1958-05-01 00:00:00,363.0,383.5671620046621
1958-06-01 00:00:00,435.0,423.40049533799527
1958-07-01 00:00:00,491.0,463.067162004662
1958-08-01 00:00:00,505.0,462.817162004662
1958-09-01 00:00:00,404.0,414.1504953379954
1958-10-01 00:00:00,359.0,378.317162004662
1958-11-01 00:00:00,310.0,344.56716200466195
1958-12-01 00:00:00,337.0,373.567162004662
1959-01-01 00:00:00,360.0,385.4077797202797
1959-02-01 00:00:00,342.0,378.6577797202798
1959-03-01 00:00:00,406.0,413.8244463869463
1959-04-01 00:00:00,396.0,410.74111305361293
1959-05-01 00:00:00,420.0,415.49111305361316
1959-06-01 00:00:00,472.0,455.3244463869463
1959-07-01 00:00:00,548.0,494.99111305361305
1959-08-01 00:00:00,559.0,494.74111305361305
1959-09-01 00:00:00,463.0,446.0744463869464
1959-10-01 00:00:00,407.0,410.24111305361305
1959-11-01 00:00:00,362.0,376.491113053613
1959-12-01 00:00:00,405.0,405.49111305361305
1960-01-01 00:00:00,417.0,417.3317307692307
1960-02-01 00:00:00,391.0,410.58173076923083
1960-03-01 00:00:00,419.0,445.74839743589735
1960-04-01 00:00:00,461.0,442.665064102564
1960-05-01 00:00:00,472.0,447.4150641025642
1960-06-01 00:00:00,535.0,487.24839743589735
1960-07-01 00:00:00,622.0,526.9150641025641
1960-08-01 00:00:00,606.0,526.6650641025641
1960-09-01 00:00:00,508.0,477.99839743589746
1960-10-01 00:00:00,461.0,442.1650641025641
1960-11-01 00:00:00,390.0,408.41506410256403
1960-12-01 00:00:00,432.0,437.4150641025641
0,449.25568181818176,
1,442.50568181818187,
2,477.6723484848484,
3,474.589015151515,
4,479.33901515151524,
5,519.1723484848484,
6,558.8390151515151,
7,558.5890151515151,
8,509.9223484848485,
9,474.0890151515151,
10,440.33901515151507,
11,469.3390151515151,
